description
"('TASTE LEGEND AUS ', 'ULTIMO NSW AU')"
"('Direct Debit 617704 PAYPAL ', 'AUSTRALIA 1026152852159')"
"('Direct Debit 617704 PAYPAL ', 'AUSTRALIA 1026179735082')"
"('Transfer to CBA A/c NetBank rent', None)"
"('Direct Debit 617704 PAYPAL ', 'AUSTRALIA 1026096377727')"
"('AMAZON AU ', 'SYDNEY SOUTH NS AUS ')"
"('Direct Debit 617704 PAYPAL ', 'AUSTRALIA 1026075163903')"
"('BUNNINGS GROUP LTD ', 'HAWTHORN EAST AUS ')"
"('Salary The U', 'niversity o 1180325')"
"('', 'Kogan Mobile North Sydney AU AUS ')"
"('TERRYWHITE CHEMMART ', 'MARRICKVILLE AUS ')"
"('AMAZON AU ', 'SYDNEY SOUTH NS AUS ')"
"('SonomaCafe ', 'Alexandria Alexandria AU')"
"('No1 Malatang ', 'Broadway Glebe NS AUS ')"
"('TRANSPORTFORNSW OPAL ', 'CHIPPENDALE AUS ')"
"('Direct Debit 617704 PAYPAL ', 'AUSTRALIA 1025852325053')"
"('Direct Debit 617704 PAYPAL ', 'AUSTRALIA 1025852409241')"
"('Transfer to CBA A/c NetBank rent', None)"
"('ST. PETERS FRUITWORL ', 'SYDENHAM AU ')"
"('Direct Debit 617704 PAYPAL ', 'AUSTRALIA 1025774675858')"
"('Direct Debit 617704 PAYPAL ', 'AUSTRALIA 1025774877536')"
"('Direct Debit 617704 PAYPAL ', 'AUSTRALIA 1025774592337')"
"('Beem It', None)"
"('SQ *CATMOSPHERE OPERAT ', 'Surry Hills NS AUS ')"
"('Salary The U', 'niversity o 1180325')"
"('RA RA RAMEN ', 'REDFERN AUSTRALIA VI AUS ')"
"('GOOGLE*YOUTUBE MUSIC ', 'Sydney AU AUS ')"
"('Transfer to CBA A/c NetBank rent', None)"
"('AMAZON AU ', 'SYDNEY SOUTH NS AUS ')"
"('COURTYARD CAFE U', 'NIVERSITY OF NS AUS ')"
"('Direct Debit 617704 PAYPAL ', 'AUSTRALIA 1025553573809')"
"('Direct Cr', 'edit 001248 CTRLINK YTH ALL 7E1S3072208738704V')"
"('WW METRO 1669 ', 'SURRY HILLS AU AUS ')"
"('Direct Debit 617704 PAYPAL ', 'AUSTRALIA 1025472276111')"
"('Direct Debit 617704 PAYPAL ', 'AUSTRALIA 1025472294042')"
"('MIRACLE ', 'MARRICKVILLE MARRICKVILLE NS AUS ')"
"('', 'LLOYDS IGA CRONULLANSW NS AUS ')"
"('Direct Debit 617704 PAYPAL ', 'AUSTRALIA 1025382729799')"
"('Direct Debit 617704 PAYPAL ', 'AUSTRALIA 1025382754846')"
"('Direct Cr', 'edit 000415 CENTRAL ACCOUNTS SAM-164481-5068')"
"('SP IFIXIT OCEANIA ', 'CHATSWOOD NS AUS ')"
"('AMAZON MARKETPLACE AU ', 'SYDNEY SOUTH NS AUS ')"
"('SQ *SHADES ', 'Newtown NS AUS ')"
"('Transfer to CBA A/c NetBank rent', None)"
"('', 'Forest Lodge Hotel Forest Lodge AU')"
"('Direct Cr', 'edit 001248 CTRLINK YTH ALL 7E1S2742208738704V')"
"('TRANSPORTFORNSW OPAL ', 'CHIPPENDALE AUS ')"
"('Direct Debit 617704 PAYPAL ', 'AUSTRALIA 1025233445923')"
"('Refund Purchase Beem It', None)"
"('WOOLWORTHS 1649 ', 'MARRICKVILLE AU AUS ')"
"('Refund Purchase Beem It', None)"
"('AMAZON MARKETPLACE AU ', 'SYDNEY SOUTH NS AUS ')"
"('GOOGLE*YOUTUBE MUSIC ', 'Sydney AU AUS ')"
"('AMAZON MARKETPLACE AU ', 'SYDNEY SOUTH NS AUS ')"
"('Transfer to CBA A/c NetBank rent', None)"
"('Direct Debit 617704 PAYPAL ', 'AUSTRALIA 1025019074128')"
"('Direct Debit 617704 PAYPAL ', 'AUSTRALIA 1025019089373')"
"('Direct Cr', 'edit 001248 CTRLINK YTH ALL 7E1S2412208738704V')"
"('Refund Purchase Beem It', None)"
"('AMAZON MARKETPLACE AU ', 'SYDNEY SOUTH NS AUS ')"
"('Direct Debit 617704 PAYPAL ', 'AUSTRALIA 1024978195954')"
"('Direct Debit 617704 PAYPAL ', 'AUSTRALIA 1024962722584')"
"('GOOGLE*BUMBLE ', 'Sydney AU AUS ')"
"('Beem It', None)"
"('Beem It', None)"
"('Transfer To O SCARLET PayID Phone from CommBank App rent 20/01/23-2/2/23', None)"
"('Direct Cr', 'edit 000415 CENTRAL ACCOUNTS SAM-164481-5030')"
"('TS/', 'BROADWAY SURRY HILLS NS AUS ')"
"('Direct Cr', 'edit 001248 CTRLINK YTH ALL 7E1S2115208738704V')"
"('AMAZON MARKETPLACE AU ', 'SYDNEY SOUTH NS AUS ')"
"('AMAZON MARKETPLACE AU ', 'SYDNEY SOUTH NS AUS ')"
"('AMAZON AU ', 'SYDNEY SOUTH NS AUS ')"
"('AMAZON MARKETPLACE AU ', 'SYDNEY SOUTH NS AUS ')"
"('YE YING REF 2023011300034440 HAPPY BIRTHDAY', None)"
"('Direct Debit 617704 PAYPAL ', 'AUSTRALIA 1024632475660')"
"('Direct Debit 617704 PAYPAL ', 'AUSTRALIA 1024632505762')"
"('Direct Debit 617704 PAYPAL ', 'AUSTRALIA 1024630484689')"
"('Direct Debit 617704 PAYPAL ', 'AUSTRALIA 1024558771851')"
"('Transfer from xx6693 CommBank app', None)"
"('Fast Transfer From SASHA JENNER Food ', 'Scone')"
"('Garmin ', 'Eastern Creek AU AUS ')"
"('Fast Transfer From ISAAC GREENE ', 'Coles shop')"
"('Transfer To Finn Gardner CommBank App food for camp', None)"
"('GOOGLE*YOUTUBE MUSIC ', 'SYDNEY AU AUS ')"
"('Direct Cr', 'edit 617702 PAYPAL AUSTRALIA 1024476048265')"
"('', 'Kogan Mobile North Sydney AU AUS ')"
"('Direct Debit 617704 PAYPAL ', 'AUSTRALIA 1024317582798')"
"('Fast Transfer From OLIVER SCARLET to PayID Phone Christmas is Merry', None)"
"('Transfer To O SCARLET PayID Phone from CommBank App rent 24/12/22-6/1/23', None)"
"('ST. PETERS FRUITWORL ', 'SYDENHAM AU ')"
"('Transfer from xx6693 CommBank app', None)"
"('99 Bikes ', 'PennantHills Pennant HillsAU')"
"('Transfer To O SCARLET PayID Phone from CommBank App math is hard', None)"
"('Transfer To O SCARLET PayID Phone from CommBank App 4 wk bond+ 2wk rent', None)"
"('Garmin ', 'Eastern Creek AU AUS ')"
"('Direct Debit 617704 PAYPAL ', 'AUSTRALIA 1023919512024')"
"('GOOGLE*YOUTUBE MUSIC ', 'SYDNEY AU AUS ')"
"('SQ *BAROBARO ', 'Redfern NS AUS ')"
"('TRANSPORTFORNSW OPAL ', 'CHIPPENDALE AUS ')"
"('WOOLWORTHS 1249 ', 'THORNLEIGH AU AUS ')"
"('TREK BICYCLE CORPORATI ', 'TURRAMURRA AU AUS ')"
"('Direct Debit 617704 PAYPAL ', 'AUSTRALIA 1023761268280')"
"('WOOLWORTHS 1249 ', 'THORNLEIGH AU AUS ')"
"('Direct Debit 617704 PAYPAL ', 'AUSTRALIA 1023624283252')"
"('Direct Debit 617704 PAYPAL ', 'AUSTRALIA 1023545088695')"
"('DECATHLON (', 'AUSTRALIA TEMPE NS AUS ')"
"('Direct Debit 617704 PAYPAL ', 'AUSTRALIA 1023428795206')"
"('Transfer from xx6693 CommBank app', None)"
"('Transfer from xx2075 CommBank app', None)"
"('SAMUEL CHU OPTOMETRIST ', 'CHATSWOOD NS AUS ')"
"('SMP*', 'Epping Star Eatery Epping02 AU')"
"('Garmin ', 'Eastern Creek AU AUS ')"
"('WOOLWORTHS 1249 ', 'THORNLEIGH AU AUS ')"
"('20 MILE HOLLOW ', 'WOODFORD AU')"
"('C', 'ONDITOREI PATISSERIE WENTWORTH F NSW AU ')"
"('WOOLWORTHS 1249 ', 'THORNLEIGH AU AUS ')"
"('Direct Debit 617704 PAYPAL ', 'AUSTRALIA 1023277387109')"
"('GOOGLE*YOUTUBE MUSIC ', 'SYDNEY AU AUS ')"
"('Salary The U', 'niversity o 1180325')"
"('MAISON DE THE PL ', 'PARRAMATTA AUS ')"
"('RG DENTAL P/L ', 'NORMANHURST NS AUS ')"
"('Fast Transfer From MIN YE Dental payment', None)"
"('ALDI STORES - ARNDELL ', 'ARNDELL PARK AU ')"
"('USYD STUDENT FEES NetBank BPAY 252957 4903792820558', None)"
"('Direct Debit 617704 PAYPAL ', 'AUSTRALIA 1023099934704')"
"('', 'ABERCROMBIE TERRACE UNIVERSITY OF NS AUS ')"
"('Direct Debit 617704 PAYPAL ', 'AUSTRALIA 1023060394743')"
"('Direct Debit 617704 PAYPAL ', 'AUSTRALIA 1023061663534')"
"('Salary The U', 'niversity o 1180325')"
"('WOOLWORTHS 1249 ', 'THORNLEIGH AU AUS ')"
"('TRANSPORTFORNSW OPAL ', 'CHIPPENDALE AUS ')"
"('AMZNPRIMEAU MEMBERSHIP ', 'SYDNEY SOUTH NS AUS ')"
"('JK UNITED PTY LTD ', 'MACQUARIE PAR NS AUS ')"
"('Garmin ', 'Eastern Creek AU AUS ')"
"('UNI OF ', 'SYDNEY UNION UNI OF SYDNEY NS AUS ')"
"('AMAZON AU ', 'SYDNEY SOUTH NS AUS ')"
"('COCO ', 'BROADWAY ULTIMO AU ')"
"('', 'CORLETTE WEALTH PTY LT ULTIMO AU ')"
"('GOOGLE*YOUTUBE MUSIC ', 'SYDNEY AU AUS ')"
"('WOOLWORTHS 1249 ', 'THORNLEIGH AU AUS ')"
"('Interna', 'tional Transaction Fee ')"
"('SP KAVISO PLAIN ', 'CITY OH USA ')"
"('Direct Debit 617704 PAYPAL ', 'AUSTRALIA 1022569114047')"
"('', 'COLES 0825 CASTLE HILL AU AUS ')"
"('WESTSIDE ', 'YARRAMALONG Yarramalong AU')"
"('WOOLWORTHS 1249 ', 'THORNLEIGH AU AUS ')"
"('TRANSPORTFORNSW OPAL ', 'CHIPPENDALE AUS ')"
"('Direct Debit 617704 PAYPAL ', 'AUSTRALIA 1022481583634')"
"('Direct Debit 617704 PAYPAL ', 'AUSTRALIA 1022465217490')"
"('SP MUNDA BIDDI ', 'NORTHBRIDGE WA AUS ')"
"('Menulog Pty Ltd ', 'Sydney AU AUS ')"
"('WOOLWORTHS 1106 ', 'PARRAMATTA AU AUS ')"
"('Fast Transfer From YANXUN LIU Elsa', None)"
"('Beem It', None)"
"('Transfer from xx2075 CommBank app', None)"
"('Direct Debit 617704 PAYPAL ', 'AUSTRALIA 1022304904707')"
"('WOOLWORTHS 1249 ', 'THORNLEIGH AU AUS ')"
"('WOOLWORTHS 1375 ', 'WINDSOR AU AUS ')"
"('Garmin ', 'Eastern Creek AU AUS ')"
"('GOOGLE*YOUTUBE MUSIC ', 'SYDNEY AU AUS ')"
"('99 Bikes ', 'PennantHills Pennant HillsAU')"
"('WOOLWORTHS 1249 ', 'THORNLEIGH AU AUS ')"
"('Soul Origin ', 'Broadway Broadway NS AUS ')"
"('Direct Debit 617704 PAYPAL ', 'AUSTRALIA 1022052942058')"
"('CWH ', 'PENNANT HILLS PENNANT HILLS NS AUS ')"
"('WOOLWORTHS 1375 ', 'WINDSOR AU AUS ')"
"('THE GOOD GUYS ', 'ARTARMON NS AUS ')"
"('SMP*The Hub Of Mangro Man', 'grove Moun AU AUS ')"
"('SMP*The Hub Of Mangro Man', 'grove Moun AU AUS ')"
